TEAM,REGION,POWER RATING,1ST,2ND,SWEET 16,ELITE EIGHT,FINAL FOUR,CHAMP.,WIN
Alabama 1,South,92.6,✓,99%,82%,65%,45%,30%,16%
Arizona 2,South,89,✓,94%,67%,35%,15%,8%,4%
Arizona St. 11,West,82.4,✓,37%,11%,5%,2%,0.50%,0.20%
Arkansas 8,West,85.1,✓,52%,18%,9%,4%,1%,0.60%
Auburn 9,Midwest,84.9,✓,58%,16%,9%,4%,2%,0.80%
Baylor 3,South,87.1,✓,89%,45%,24%,10%,6%,3%
Boise State 10,West,82.6,✓,59%,19%,6%,2%,0.60%,0.20%
Charleston 12,South,79.8,✓,33%,15%,2%,0.80%,0.20%,<0.1%
Colgate 15,Midwest,76.2,✓,8%,2%,0.50%,<0.1%,<0.1%,<0.1%
Creighton 6,South,87.6,✓,79%,46%,26%,11%,6%,2%
Drake 12,Midwest,81.2,✓,41%,15%,4%,1%,0.50%,0.20%
Duke 5,East,87.1,✓,82%,46%,23%,13%,5%,2%
F. Dickinson 16,East,66.9,✓,2%,<0.1%,<0.1%,<0.1%,<0.1%,<0.1%
Florida Atl. 9,East,82.6,✓,36%,9%,3%,1%,0.50%,0.20%
Furman 13,South,78.2,✓,28%,9%,1%,0.40%,0.10%,<0.1%
Gonzaga 3,West,89.9,✓,92%,63%,37%,22%,9%,5%
Gr. Canyon 14,West,75.9,✓,8%,2%,0.40%,<0.1%,<0.1%,<0.1%
Houston 1,Midwest,93.2,✓,97%,74%,59%,41%,31%,22%
Howard 16,West,69.3,✓,2%,0.10%,<0.1%,<0.1%,<0.1%,<0.1%
Illinois 9,West,84.5,✓,48%,16%,7%,3%,1%,0.40%
Indiana 4,Midwest,85.8,✓,74%,47%,15%,7%,3%,1%
Iona 13,West,79.6,✓,15%,7%,1%,0.30%,<0.1%,<0.1%
Iowa 8,Midwest,84.4,✓,42%,10%,6%,3%,1%,0.50%
Iowa State 6,Midwest,84.5,✓,64%,34%,14%,5%,2%,0.90%
Kansas 1,West,89.6,✓,98%,66%,39%,20%,9%,5%
Kansas State 3,East,84.5,✓,85%,35%,15%,5%,2%,0.70%
Kenn. State 14,Midwest,73.3,✓,13%,2%,0.30%,<0.1%,<0.1%,<0.1%
Kent State 13,Midwest,79.4,✓,26%,11%,2%,0.50%,0.10%,<0.1%
Kentucky 6,East,86,✓,66%,45%,23%,10%,4%,1%
La.-Lafayette 13,East,76.3,✓,13%,3%,0.40%,0.10%,<0.1%,<0.1%
Marquette 2,East,87.6,✓,89%,58%,34%,16%,7%,3%
Maryland 8,South,84.5,✓,51%,9%,6%,3%,1%,0.40%
Memphis 8,East,84.9,✓,64%,22%,10%,5%,2%,0.70%
Miami 5,Midwest,83.6,✓,59%,26%,6%,2%,0.90%,0.40%
Michigan St. 7,East,83.8,✓,64%,27%,13%,5%,2%,0.50%
Missouri 7,South,81.4,✓,36%,9%,3%,1%,0.40%,0.10%
Montana St. 14,East,75.3,✓,15%,2%,0.40%,<0.1%,<0.1%,<0.1%
N'western 7,West,82.2,✓,41%,11%,3%,1%,0.30%,0.10%
N. Kentucky 16,Midwest,72.9,✓,3%,0.40%,<0.1%,<0.1%,<0.1%,<0.1%
NC State 11,South,81.4,✓,21%,7%,3%,0.90%,0.30%,<0.1%
Oral Roberts 12,East,79.2,✓,18%,5%,1%,0.40%,0.10%,<0.1%
Penn State 10,Midwest,82.8,✓,40%,12%,6%,2%,0.60%,0.20%
Pittsburgh 11,Midwest,80.2,✓,36%,15%,4%,0.90%,0.30%,<0.1%
Princeton 15,South,75.4,✓,6%,1%,0.20%,<0.1%,<0.1%,<0.1%
Providence 11,East,82.8,✓,34%,18%,9%,4%,1%,0.30%
Purdue 1,East,89.5,✓,98%,69%,41%,25%,12%,5%
SDSU 5,South,86,✓,67%,39%,10%,5%,2%,0.80%
St. Mary's 5,West,85.9,✓,59%,18%,9%,5%,2%,0.70%
TCU 6,West,85.4,✓,63%,24%,11%,5%,2%,1%
Tennessee 4,East,86.9,✓,87%,46%,22%,12%,5%,2%
Texas 2,Midwest,90.1,✓,92%,65%,46%,22%,14%,8%
Texas A&M 7,Midwest,85.1,✓,60%,22%,13%,5%,2%,1%
TX A&M-CC 16,South,70.6,✓,1%,0.10%,<0.1%,<0.1%,<0.1%,<0.1%
UCLA 2,West,88.3,✓,95%,70%,37%,21%,7%,3%
UConn 4,West,89.2,✓,85%,65%,31%,15%,6%,3%
UCSB 14,South,75.5,✓,11%,2%,0.30%,<0.1%,<0.1%,<0.1%
UNC-Ash. 15,West,73,✓,5%,0.70%,<0.1%,<0.1%,<0.1%,<0.1%
USC 10,East,83,✓,36%,12%,5%,2%,0.50%,0.20%
Utah State 10,South,83.5,✓,64%,22%,8%,2%,0.90%,0.30%
VCU 12,West,81.7,✓,41%,11%,3%,0.90%,0.20%,<0.1%
Vermont 15,East,76.3,✓,11%,3%,0.80%,0.20%,<0.1%,<0.1%
Virginia 4,South,83.8,✓,72%,38%,10%,4%,2%,0.60%
W. Virginia 9,South,84.2,✓,49%,9%,5%,3%,1%,0.40%
Xavier 3,Midwest,84.4,✓,87%,48%,17%,6%,2%,0.80%
